魑魅魍魎,ち|み|もう|りょう,様々な化け物や妖怪を指す言葉,『史記』
東西南北,とう|ざい|なん|ぼく,東・西・南・北の四つの方角そのものを表す,古代中国からの基本的な概念
以心伝心,い|しん|でん|しん,言葉にしなくても互いの気持ちが通じ合うこと,禅宗の教え『景徳伝灯録』
一生懸命,いっ|しょう|けん|めい,命がけで真剣に物事に取り組む様子,中世日本の武士の慣習から
一進一退,いっ|しん|いっ|たい,進んだり退いたりを繰り返し状況がなかなか変わらないこと,『荀子』
一騎当千,いっ|き|とう|せん,一人の騎兵で千人の敵を相手にできるほど並外れて強いこと,『太平記』
一喜一憂,いっ|き|いち|ゆう,状況が変わるたびに喜んだり心配したりと落ち着かない様子,『新唐書』
一心不乱,いっ|しん|ふ|らん,一つのことに心を集中させて他のことに気を取られないこと,『阿弥陀経』
一気呵成,いっ|き|か|せい,物事を中断せずに一息に完成させること,元の時代の戯曲『西廂記』
一刻千金,いっ|こく|せん|きん,わずかな時間が千金にも値するほど非常に貴重であることのたとえ,蘇軾の詩『春夜』
一心同体,いっ|しん|どう|たい,心も体も一つになったかのように固く結びついている関係,『後漢書』
一石二鳥,いっ|せき|に|ちょう,一つの行動で同時に二つの利益を得ること,西洋の諺から
一期一会,いち|ご|いち|え,その出会いが一生に一度のものと心得て相手に誠心誠意尽くすこと,千利休の言葉とされる『山上宗二記』
一蓮托生,いち|れん|たく|しょう,結果がどうなろうと最後まで運命を共にすること,仏教の教え『法華経』
温故知新,おん|こ|ち|しん,過去の事柄を研究しそこから新しい知識や道理を見つけ出すこと,『論語』
外柔内剛,がい|じゅう|ない|ごう,外面は穏やかで優しそうだが内面は強くしっかりしていること,『晋書』
臥薪嘗胆,が|しん|しょう|たん,目的を達成するために長い間苦労や苦難に耐えることのたとえ,『史記』
美人薄命,び|じん|はく|めい,美しい女性は生まれつき不運であったり若くして亡くなったりすることが多いということ,蘇軾の詩『薄命佳人』
画竜点睛,が|りょう|てん|せい,物事の最も重要な最後の仕上げを表す,『歴代名画記』
頑固一徹,がん|こ|いっ|てつ,一度決めたら意地でも自分の考えを押し通す非常に頑固な性格,日本の俗語から
感慨無量,かん|がい|む|りょう,計り知れないほど深く心に感じ入ること,『世説新語』
五臓六腑,ご|ぞう|ろっ|ぷ,体の中にある内臓のすべてを指す言葉,中国の伝統医学
起承転結,き|しょう|てん|けつ,漢詩の構成法から転じて文章や話の筋道の組み立て,唐の時代の詩の形式
起死回生,き|し|かい|せい,ほとんど望みのない絶望的な状況を再び立て直すこと,『三国志』
百花繚乱,ひゃっ|か|りょう|らん,優れた人物や業績が一時期に多く現れること,『隋書』
疾風迅雷,しっ|ぷう|じん|らい,行動が極めて迅速であるさま,『礼記』
明鏡止水,めい|きょう|し|すい,心が澄み切って落ち着いている状態,『荘子』
行雲流水,こう|うん|りゅう|すい,物事に執着せず自然の成り行きに任せること,蘇軾の詩から
不撓不屈,ふ|とう|ふ|くつ,どんな困難に直面しても意志が揺らぐことなく屈しないこと,『荀子』
虎視眈々,こ|し|たん|たん,機会を伺って油断なく形勢を見ている様子,『易経』
奇想天外,き|そう|てん|がい,普通の人では思いもつかないような非常に奇抜な考え,夏目漱石の評論から
乾坤一擲,けん|こん|いっ|てき,運命をかけてのるかそるかの大勝負をすること,韓愈の詩『過鴻溝』
花鳥風月,か|ちょう|ふう|げつ,花・鳥・風・月といった自然の美しい景観や風物,世阿弥の『風姿花伝』
国士無双,こく|し|む|そう,国内に並ぶ者がいないほど非常に優れた人物のこと,『史記』
四面楚歌,し|めん|そ|か,周りをすべて敵に囲まれ助けがなく孤立した状態,『史記』
臨機応変,りん|き|おう|へん,その時々の状況の変化に対応して適切な処置をとること,『旧唐書』
五里霧中,ご|り|む|ちゅう,物事の様子が全く分からず見通しが立たずに困惑すること,『後漢書』
疑心暗鬼,ぎ|しん|あん|き,疑う心があると何でもないことまで恐ろしく感じられるようになることのたとえ,中国の説話から
天衣無縫,てん|い|む|ほう,詩や文章などに技巧の跡が見えず自然で完璧な出来栄えであること,『霊怪録』
東奔西走,とう|ほん|せい|そう,目的のために東へ西へとあちこち忙しく走り回ること,『漢書』
流言飛語,りゅう|げん|ひ|ご,何の根拠もない口づてに広まる噂やデマ,『史記』
天真爛漫,てん|しん|らん|まん,飾ったりつくろったりせずありのままで無邪気な様子,『輟耕録』
威風堂々,い|ふう|どう|どう,態度や雰囲気が威厳に満ちていて立派であるさま,『漢書』
天下無双,てん|か|む|そう,世の中に並ぶ者がいないほどずば抜けて優れていること,『史記』
